form_id,side,doc_hash,token_position,char_start,char_end,snippet_status,snippet_error_code,snippet_start,snippet_end,snippet_text,snippet_preview_single_line,form_reference_count,form_evaluated_count,witness_ordinal_in_form
510d9f653a647c11ce7d963783fdaa32a85d332b9bdd0e5e9dc8f3d6c3e8bca7,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,2930,16940,16945,present,,16820,17065," notice available at the
service delivery site for individuals to
request to take with them; and
720Dept. of Health and Human Services
§ 164.520
(B) Post the notice in a clear and
prominent location where it is reason-
able to expect individuals", notice available at the ⏎ service delivery site for individuals to ⏎ request to take with them; and ⏎ 720Dept. of Health and Human Services ⏎ § 164.520 ⏎ (B) Post the notice in a clear and ⏎ prominent location where it is reason- ⏎ able to expect individuals,3,3,2
510d9f653a647c11ce7d963783fdaa32a85d332b9bdd0e5e9dc8f3d6c3e8bca7,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,4,20,25,present,,0,145,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).
(ii) Iden",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v). ⏎ (ii) Iden,3,3,0
510d9f653a647c11ce7d963783fdaa32a85d332b9bdd0e5e9dc8f3d6c3e8bca7,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,1472,8499,8504,present,,8379,8624," falling within
paragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered entity is pro"," falling within ⏎ paragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered entity is pro",3,3,1
510d9f653a647c11ce7d963783fdaa32a85d332b9bdd0e5e9dc8f3d6c3e8bca7,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,2928,16934,16939,present,,16814,17059," notice available at the
service delivery site for individuals to
request to take with them; and
720Dept. of Health and Human Services
§ 164.520
(B) Post the notice in a clear and
prominent location where it is reason-
able to expect individuals", notice available at the ⏎ service delivery site for individuals to ⏎ request to take with them; and ⏎ 720Dept. of Health and Human Services ⏎ § 164.520 ⏎ (B) Post the notice in a clear and ⏎ prominent location where it is reason- ⏎ able to expect individuals,3,3,2
522b6c0dea8f8d4cce1b95a6ac0faaed7496bfff694dacef8ec97cae63246e5d,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,5,26,34,present,,0,154,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).
(ii) Identity of p",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v). ⏎ (ii) Identity of p,3,3,0
522b6c0dea8f8d4cce1b95a6ac0faaed7496bfff694dacef8ec97cae63246e5d,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1475,8511,8519,present,,8391,8639,"ng within
paragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered entity is prohibited f","ng within ⏎ paragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered entity is prohibited f",3,3,1
522b6c0dea8f8d4cce1b95a6ac0faaed7496bfff694dacef8ec97cae63246e5d,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,2931,16946,16954,present,,16826,17074,"e available at the
service delivery site for individuals to
request to take with them; and
720Dept. of Health and Human Services
§ 164.520
(B) Post the notice in a clear and
prominent location where it is reason-
able to expect individuals seeking ",e available at the ⏎ service delivery site for individuals to ⏎ request to take with them; and ⏎ 720Dept. of Health and Human Services ⏎ § 164.520 ⏎ (B) Post the notice in a clear and ⏎ prominent location where it is reason- ⏎ able to expect individuals seeking ,3,3,2
522b6c0dea8f8d4cce1b95a6ac0faaed7496bfff694dacef8ec97cae63246e5d,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,5,26,34,present,,0,154,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).
(ii) Identity of p",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v). ⏎ (ii) Identity of p,3,3,0
522b6c0dea8f8d4cce1b95a6ac0faaed7496bfff694dacef8ec97cae63246e5d,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,1473,8505,8513,present,,8385,8633,"ng within
paragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered entity is prohibited f","ng within ⏎ paragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered entity is prohibited f",3,3,1
522b6c0dea8f8d4cce1b95a6ac0faaed7496bfff694dacef8ec97cae63246e5d,evaluated,e65db7fa8ca99118423810f300e5a5d296799aa9b519aa5bada96336b43eae7e,2929,16940,16948,present,,16820,17068,"e available at the
service delivery site for individuals to
request to take with them; and
720Dept. of Health and Human Services
§ 164.520
(B) Post the notice in a clear and
prominent location where it is reason-
able to expect individuals seeking ",e available at the ⏎ service delivery site for individuals to ⏎ request to take with them; and ⏎ 720Dept. of Health and Human Services ⏎ § 164.520 ⏎ (B) Post the notice in a clear and ⏎ prominent location where it is reason- ⏎ able to expect individuals seeking ,3,3,2
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,6,37,40,present,,0,160,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).
(ii) Identity of public ",Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v). ⏎ (ii) Identity of public ,28,28,0
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,18,110,113,present,,0,233,"Dept. of Health and Human Services
§ 164.520
that each is appropriately dated and
signed
in
accordance
with
§ 164.512(i)(2)(i) and (v).
(ii) Identity of public officials. A cov-
ered entity may rely, if such reliance is
reasonable un","Dept. of Health and Human Services ⏎ § 164.520 ⏎ that each is appropriately dated and ⏎ signed ⏎ in ⏎ accordance ⏎ with ⏎ § 164.512(i)(2)(i) and (v). ⏎ (ii) Identity of public officials. A cov- ⏎ ered entity may rely, if such reliance is ⏎ reasonable un",28,28,1
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,331,1990,1993,present,,1870,2113,"f the covered entity
relies on the exercise of professional
judgment in making a use or disclosure
in accordance with § 164.510 or acts on a
good faith belief in making a disclosure
in accordance with § 164.512(j).
[65 FR 82802, Dec. 28, 2000,","f the covered entity ⏎ relies on the exercise of professional ⏎ judgment in making a use or disclosure ⏎ in accordance with § 164.510 or acts on a ⏎ good faith belief in making a disclosure ⏎ in accordance with § 164.512(j). ⏎ [65 FR 82802, Dec. 28, 2000,",28,28,2
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,347,2073,2076,present,,1953,2196,"e or disclosure
in accordance with § 164.510 or acts on a
good faith belief in making a disclosure
in accordance with § 164.512(j).
[65 FR 82802, Dec. 28, 2000, as amended at 67
FR 53270, Aug. 14, 2002; 78 FR 5700, Jan. 25,
2013; 78 FR 34266, ","e or disclosure ⏎ in accordance with § 164.510 or acts on a ⏎ good faith belief in making a disclosure ⏎ in accordance with § 164.512(j). ⏎ [65 FR 82802, Dec. 28, 2000, as amended at 67 ⏎ FR 53270, Aug. 14, 2002; 78 FR 5700, Jan. 25, ⏎ 2013; 78 FR 34266, ",28,28,3
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,377,2212,2215,present,,2092,2335,"82802, Dec. 28, 2000, as amended at 67
FR 53270, Aug. 14, 2002; 78 FR 5700, Jan. 25,
2013; 78 FR 34266, June 7, 2013]
§ 164.520 Notice of privacy practices
for protected health information.
(a) Standard: Notice of privacy prac-
tices—(1) Right","82802, Dec. 28, 2000, as amended at 67 ⏎ FR 53270, Aug. 14, 2002; 78 FR 5700, Jan. 25, ⏎ 2013; 78 FR 34266, June 7, 2013] ⏎ § 164.520 Notice of privacy practices ⏎ for protected health information. ⏎ (a) Standard: Notice of privacy prac- ⏎ tices—(1) Right",28,28,4
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,661,3824,3827,present,,3704,3947,"and that creates
or receives protected health informa-
tion in addition to summary health in-
formation as defined in § 164.504(a) or
information on whether the individual
is participating in the group health
plan, or is enrolled in or has
dis","and that creates ⏎ or receives protected health informa- ⏎ tion in addition to summary health in- ⏎ formation as defined in § 164.504(a) or ⏎ information on whether the individual ⏎ is participating in the group health ⏎ plan, or is enrolled in or has ⏎ dis",28,28,5
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,746,4295,4298,present,,4175,4418,"o not apply
to such group health plan.
(iii) A group health plan that pro-
vides health benefits solely through an
717§ 164.520
45 CFR Subtitle A (10–1–24 Edition)
insurance contract with a health insur-
ance issuer or HMO, and does not cre-
a","o not apply ⏎ to such group health plan. ⏎ (iii) A group health plan that pro- ⏎ vides health benefits solely through an ⏎ 717§ 164.520 ⏎ 45 CFR Subtitle A (10–1–24 Edition) ⏎ insurance contract with a health insur- ⏎ ance issuer or HMO, and does not cre- ⏎ a",28,28,6
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,786,4519,4522,present,,4399,4642,"and does not cre-
ate or receive protected health infor-
mation other than summary health in-
formation as defined in § 164.504(a) or
information on whether an individual
is participating in the group health
plan, or is enrolled in or has
dise","and does not cre- ⏎ ate or receive protected health infor- ⏎ mation other than summary health in- ⏎ formation as defined in § 164.504(a) or ⏎ information on whether an individual ⏎ is participating in the group health ⏎ plan, or is enrolled in or has ⏎ dise",28,28,7
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1169,6758,6761,present,,6638,6881,", such
as 42 CFR part 2.
(E) A description of the types of uses
and disclosures that require an author-
ization under § 164.508(a)(2)–(a)(4), a
statement that other uses and disclo-
sures not described in the notice will
be made only with the ",", such ⏎ as 42 CFR part 2. ⏎ (E) A description of the types of uses ⏎ and disclosures that require an author- ⏎ ization under § 164.508(a)(2)–(a)(4), a ⏎ statement that other uses and disclo- ⏎ sures not described in the notice will ⏎ be made only with the ",28,28,8
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1212,7000,7003,present,,6880,7123," individual’s
written authorization, and a statement
that the individual may revoke an au-
thorization
as
provided
by
§ 164.508(b)(5).
(F) A description, including at least
one example, of the types of uses and
disclosures
prohibited
under
§ 1"," individual’s ⏎ written authorization, and a statement ⏎ that the individual may revoke an au- ⏎ thorization ⏎ as ⏎ provided ⏎ by ⏎ § 164.508(b)(5). ⏎ (F) A description, including at least ⏎ one example, of the types of uses and ⏎ disclosures ⏎ prohibited ⏎ under ⏎ § 1",28,28,9
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1233,7122,7125,present,,7002,7245,"4.508(b)(5).
(F) A description, including at least
one example, of the types of uses and
disclosures
prohibited
under
§ 164.502(a)(5)(iii) in sufficient detail for
an individual to understand the prohi-
bition.
(G) A description, including at ","4.508(b)(5). ⏎ (F) A description, including at least ⏎ one example, of the types of uses and ⏎ disclosures ⏎ prohibited ⏎ under ⏎ § 164.502(a)(5)(iii) in sufficient detail for ⏎ an individual to understand the prohi- ⏎ bition. ⏎ (G) A description, including at ",28,28,10
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1271,7346,7349,present,,7226,7469,"tion, including at least
one example, of the types of uses and
disclosures for which an attestation is
required under § 164.509.
(H) A statement adequate to put the
individual on notice of the potential
for information disclosed pursuant to
th","tion, including at least ⏎ one example, of the types of uses and ⏎ disclosures for which an attestation is ⏎ required under § 164.509. ⏎ (H) A statement adequate to put the ⏎ individual on notice of the potential ⏎ for information disclosed pursuant to ⏎ th",28,28,11
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1364,7904,7907,present,,7784,8027," must include a separate
statement informing the individual of
such activities, as applicable:
(A) In accordance with § 164.514(f)(1),
the covered entity may contact the in-
dividual to raise funds for the covered
entity and the individual has"," must include a separate ⏎ statement informing the individual of ⏎ such activities, as applicable: ⏎ (A) In accordance with § 164.514(f)(1), ⏎ the covered entity may contact the in- ⏎ dividual to raise funds for the covered ⏎ entity and the individual has",28,28,12
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1401,8108,8111,present,,7988,8231,"e covered
entity and the individual has a right to
opt out of receiving such communica-
tions;
(B) In accordance with § 164.504(f), the
group health plan, or a health insur-
ance issuer or HMO with respect to a
group health plan, may disclose ","e covered ⏎ entity and the individual has a right to ⏎ opt out of receiving such communica- ⏎ tions; ⏎ (B) In accordance with § 164.504(f), the ⏎ group health plan, or a health insur- ⏎ ance issuer or HMO with respect to a ⏎ group health plan, may disclose ",28,28,13
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1476,8522,8525,present,,8402,8645,"aragraph (1)(viii) of the definition of
health plan, intends to use or disclose
718Dept. of Health and Human Services
§ 164.520
protected health information for un-
derwriting purposes, a statement that
the covered entity is prohibited from
us","aragraph (1)(viii) of the definition of ⏎ health plan, intends to use or disclose ⏎ 718Dept. of Health and Human Services ⏎ § 164.520 ⏎ protected health information for un- ⏎ derwriting purposes, a statement that ⏎ the covered entity is prohibited from ⏎ us",28,28,14
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1721,10040,10043,present,,9920,10163,"A) The right to request restrictions
on certain uses and disclosures of pro-
tected health information as provided
by § 164.522(a), including a statement
that the covered entity is not required
to agree to a requested restriction, ex-
cept in ","A) The right to request restrictions ⏎ on certain uses and disclosures of pro- ⏎ tected health information as provided ⏎ by § 164.522(a), including a statement ⏎ that the covered entity is not required ⏎ to agree to a requested restriction, ex- ⏎ cept in ",28,28,15
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1749,10203,10206,present,,10083,10326,"covered entity is not required
to agree to a requested restriction, ex-
cept in case of a disclosure restricted
under § 164.522(a)(1)(vi);
(B) The right to receive confidential
communications of protected health
information as provided by § 16","covered entity is not required ⏎ to agree to a requested restriction, ex- ⏎ cept in case of a disclosure restricted ⏎ under § 164.522(a)(1)(vi); ⏎ (B) The right to receive confidential ⏎ communications of protected health ⏎ information as provided by § 16",28,28,16
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1768,10324,10327,present,,10204,10447,"64.522(a)(1)(vi);
(B) The right to receive confidential
communications of protected health
information as provided by § 164.522(b),
as applicable;
(C) The right to inspect and copy pro-
tected health information as provided
by § 164.524;
(D) T","64.522(a)(1)(vi); ⏎ (B) The right to receive confidential ⏎ communications of protected health ⏎ information as provided by § 164.522(b), ⏎ as applicable; ⏎ (C) The right to inspect and copy pro- ⏎ tected health information as provided ⏎ by § 164.524; ⏎ (D) T",28,28,17
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1787,10433,10436,present,,10313,10556,"vided by § 164.522(b),
as applicable;
(C) The right to inspect and copy pro-
tected health information as provided
by § 164.524;
(D) The right to amend protected
health information as provided by
§ 164.526;
(E) The right to receive an account-","vided by § 164.522(b), ⏎ as applicable; ⏎ (C) The right to inspect and copy pro- ⏎ tected health information as provided ⏎ by § 164.524; ⏎ (D) The right to amend protected ⏎ health information as provided by ⏎ § 164.526; ⏎ (E) The right to receive an account-",28,28,18
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1800,10511,10514,present,,10391,10634,"ected health information as provided
by § 164.524;
(D) The right to amend protected
health information as provided by
§ 164.526;
(E) The right to receive an account-
ing of disclosures of protected health
information as provided by § 164.528;
",ected health information as provided ⏎ by § 164.524; ⏎ (D) The right to amend protected ⏎ health information as provided by ⏎ § 164.526; ⏎ (E) The right to receive an account- ⏎ ing of disclosures of protected health ⏎ information as provided by § 164.528; ⏎ ,28,28,19
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1819,10625,10628,present,,10505,10748," by
§ 164.526;
(E) The right to receive an account-
ing of disclosures of protected health
information as provided by § 164.528;
and
(F) The right of an individual, includ-
ing an individual who has agreed to re-
ceive the notice electronicall"," by ⏎ § 164.526; ⏎ (E) The right to receive an account- ⏎ ing of disclosures of protected health ⏎ information as provided by § 164.528; ⏎ and ⏎ (F) The right of an individual, includ- ⏎ ing an individual who has agreed to re- ⏎ ceive the notice electronicall",28,28,20
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,1985,11583,11586,present,,11463,11706,"
health information that the covered
entity created or received prior to
issuing a revised notice, in accordance
with § 164.530(i)(2)(ii), a statement that
it reserves the right to change the
terms of its notice and to make the
new notice prov"," ⏎ health information that the covered ⏎ entity created or received prior to ⏎ issuing a revised notice, in accordance ⏎ with § 164.530(i)(2)(ii), a statement that ⏎ it reserves the right to change the ⏎ terms of its notice and to make the ⏎ new notice prov",28,28,21
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,2123,12391,12394,present,,12271,12514,"tain the name, or title, and telephone
number of a person or office to contact
for further information as required by
§ 164.530(a)(1)(ii).
(viii) Effective date. The notice must
contain the date on which the notice is
first in effect, which ma","tain the name, or title, and telephone ⏎ number of a person or office to contact ⏎ for further information as required by ⏎ § 164.530(a)(1)(ii). ⏎ (viii) Effective date. The notice must ⏎ contain the date on which the notice is ⏎ first in effect, which ma",28,28,22
49ab2b4265d189adf513383c77bf024fe9e97e0d07f7805806084787de979359,reference,0fd01f5fcde9ddcfc1acad98744d017cf55faa2a409d5af9bad5359be7963eca,2184,12729,12732,present,,12609,12852,"nal elements. (i) In addition to
the information required by paragraph
(b)(1) of this section, if a covered entity
719§ 164.520
45 CFR Subtitle A (10–1–24 Edition)
elects to limit the uses or disclosures
that it is permitted to make under this","nal elements. (i) In addition to ⏎ the information required by paragraph ⏎ (b)(1) of this section, if a covered entity ⏎ 719§ 164.520 ⏎ 45 CFR Subtitle A (10–1–24 Edition) ⏎ elects to limit the uses or disclosures ⏎ that it is permitted to make under this",28,28,23
